nombre,edad,ocupacion,estado_civil,nivel_educativo,deudas,incumplimiento,balance,hipotecario,tarjeta_credito,medio_contacto,mes_ultimo_contacto,dia_ultimo_contacto,duracion_ultimo_contacto,contactos_realizados,resultado_ultima_campana,prestamo_personal,identificacion,tipo_vivienda
Alejandra Iván Rodríquez Sáenz,57,desconocido,viudo,universitaria,si,no,679933,no,si,telefono fijo,nov,22,57,181,otro,ninguno,85914000,otro
Sr(a). Augusto Salgado,22,técnico,soltero,tecnologia,no,si,849181,si,si,otro,oct,9,990,732,otro,ninguno,89649803,finca
Ing. Cynthia Palomo,33,independiente,casado,tecnica,si,no,135611,si,no,otro,nov,12,23,723,,no,22235492,otro
Ing. Humberto Casárez,30,independiente,soltero,tecnica,no,si,315083,si,si,telefono fijo,mar,26,172,46,otro,si,47510111,finca
María Eugenia Leonel Candelaria,64,servicios,divorciado,universitaria,si,no,690991,si,no,telefono fijo,jun,8,315,479,fracaso,no,28214574,finca
Ing. Omar Flores,34,servicios,divorciado,universitaria,no,si,393726,no,no,telefono fijo,nov,20,782,865,otro,ninguno,36860453,otro
Norma Robles,55,gerente,divorciado,ninguno,si,si,456513,no,si,otro,mar,5,320,710,fracaso,si,20922987,otro
Karla Violeta Godínez Zaragoza,50,técnico,divorciado,secundaria,no,si,152025,no,si,telefono fijo,ene,14,400,529,otro,si,44773929,otro
Fabiola Campos Valle,62,servicios,viudo,primaria,no,no,130048,no,si,otro,ago,11,564,404,inexistente,no,73079403,aparta estudio
Ing. Zeferino Burgos,31,obrero,viudo,posgrado,no,si,547197,no,no,otro,abr,20,669,431,inexistente,no,97967676,otro
Lic. Irma Castellanos,50,obrero,divorciado,secundaria,no,si,179446,si,no,celular,sep,16,136,678,exitoso,no,67172808,casa
Guillermina Longoria Malave,49,emprendedor,divorciado,ninguno,no,no,725875,si,no,celular,mar,16,853,42,fracaso,ninguno,22818926,finca
Dr. Conchita Valdez,72,jubilado,viudo,otro,no,si,785894,no,si,celular,jun,4,100,812,otro,si,19076482,apartamento
Pablo Bétancourt,51,admin,divorciado,secundaria,no,no,785435,si,no,celular,mar,7,689,226,inexistente,ninguno,77604052,aparta estudio
Samuel Marcos Cortez Chacón,84,obrero,casado,otro,no,no,874951,si,no,celular,jun,26,622,711,exitoso,ninguno,98680977,otro
Rolando Indira Varela,32,gerente,soltero,secundaria,si,no,341266,si,no,otro,oct,11,729,303,fracaso,ninguno,28055094,finca
Verónica Ordóñez,28,independiente,viudo,maestria,no,no,500871,no,si,otro,oct,23,609,453,otro,si,24960424,casa
Lucas Vázquez Peralta,73,obrero,casado,tecnologia,no,no,85948,si,si,otro,jul,7,540,27,inexistente,ninguno,17616159,otro
Ing. Catalina Pineda,28,gerente,casado,secundaria,no,si,420350,si,si,celular,oct,28,679,502,otro,ninguno,57105770,casa
Reina Casanova,41,servicios,soltero,primaria,si,si,648246,no,si,celular,oct,14,366,220,,si,93844116,aparta estudio
Reina Casanova,41,servicios,soltero,primaria,si,si,648246,no,si,celular,oct,14,366,220,,si,89323968,apartamento
Norma Ozuna,28,independiente,casado,maestria,no,si,565520,no,no,telefono fijo,feb,6,802,493,fracaso,ninguno,88802977,otro
Horacio Martín Negrete Candelaria,30,admin,divorciado,tecnica,si,no,239837,si,no,celular,mar,14,588,765,inexistente,si,24829412,otro
Catalina Magdalena Matías,79,admin,soltero,secundaria,si,si,390047,no,no,otro,jun,2,85,67,otro,no,15447049,apartamento
Mtro. Eugenio Aranda,78,emprendedor,soltero,otro,si,si,432901,no,no,telefono fijo,abr,29,105,817,otro,si,39610047,aparta estudio
Ing. Isabela Acuña,67,obrero,casado,primaria,si,no,360800,si,no,celular,may,13,94,974,inexistente,ninguno,97025338,otro
Nancy Zúñiga Espinoza,84,gerente,divorciado,primaria,no,no,340265,si,no,otro,abr,4,560,53,otro,si,44806341,casa
Isabel Verdugo Morales,46,independiente,divorciado,ninguno,si,no,866431,si,si,celular,dic,30,796,619,fracaso,ninguno,41846842,apartamento
Silvia Meza,56,emprendedor,casado,doctorado,no,si,501690,no,si,otro,jun,19,36,31,inexistente,no,80124836,apartamento
Fidel Rodríguez,47,emprendedor,viudo,universitaria,no,no,898921,si,si,telefono fijo,sep,17,127,392,exitoso,si,48943377,apartamento
Rosario Rosa Arce Sevilla,63,desconocido,casado,primaria,si,no,306232,si,no,celular,sep,10,850,821,fracaso,no,45319914,aparta estudio
Sr(a). José Carlos Fierro,71,técnico,divorciado,tecnica,no,no,535724,no,no,otro,dic,6,847,869,exitoso,ninguno,76766256,aparta estudio
Óscar Micaela Montoya,71,servicios,divorciado,doctorado,si,si,434649,no,no,telefono fijo,jun,1,233,275,fracaso,ninguno,78897031,apartamento
Zeferino de León Galván,22,obrero,divorciado,primaria,no,si,698807,no,no,telefono fijo,feb,5,608,828,fracaso,no,27237747,aparta estudio
Ana Luisa Ramírez Amador,72,obrero,viudo,secundaria,no,no,717364,si,no,otro,sep,23,193,165,,si,66073995,apartamento
Karla Montero Mercado,22,estudiante,soltero,otro,no,si,708288,si,si,telefono fijo,ago,11,164,691,inexistente,ninguno,51699240,otro
Georgina Ulloa,52,jubilado,viudo,otro,si,si,583950,si,no,otro,nov,9,200,227,fracaso,si,38792473,aparta estudio
Mtro. Rodolfo Fuentes,77,desempleado,divorciado,tecnica,si,si,957042,si,si,telefono fijo,abr,26,999,441,inexistente,ninguno,23482520,casa
Adalberto Linares,41,técnico,soltero,otro,no,no,17682,no,no,otro,ago,13,454,376,otro,no,19345695,otro
Patricia Grijalva Magaña,22,técnico,divorciado,tecnica,no,si,848659,si,no,telefono fijo,nov,17,171,877,otro,ninguno,32320415,finca
Mauro Aguilar Candelaria,41,admin,soltero,tecnica,si,si,486513,no,si,otro,dic,25,149,487,exitoso,no,40468532,aparta estudio
Bruno Lemus del Río,76,admin,viudo,otro,si,si,101342,si,si,telefono fijo,dic,23,466,219,otro,si,60050058,apartamento
Citlali Reséndez,79,estudiante,casado,maestria,si,no,658279,no,si,otro,ago,18,480,346,fracaso,ninguno,75208517,apartamento
Julia Fernando Mora Gonzales,73,gerente,viudo,doctorado,si,no,404167,si,no,telefono fijo,ago,4,376,187,inexistente,ninguno,99848537,otro
Vicente Ramírez,62,emprendedor,divorciado,otro,no,si,104784,no,no,telefono fijo,sep,13,357,33,exitoso,no,27523964,finca
Mtro. Homero Lovato,51,independiente,soltero,secundaria,si,no,46464,no,si,telefono fijo,jul,7,878,693,fracaso,si,50121504,aparta estudio
Reynaldo Calvillo Sauceda,59,independiente,viudo,primaria,no,si,990094,no,no,telefono fijo,mar,25,260,101,fracaso,ninguno,98472947,aparta estudio
Mtro. Aida Toro,35,servicios,viudo,secundaria,no,si,842851,si,si,celular,jul,6,250,284,exitoso,no,71431478,apartamento
Mariana Orosco Ávila,66,gerente,casado,maestria,si,si,384683,no,no,telefono fijo,ene,15,215,304,inexistente,si,60890617,finca
Guillermina Lucía Puga Quezada,25,emprendedor,casado,doctorado,no,no,888014,si,si,telefono fijo,jul,13,935,129,exitoso,ninguno,73268818,finca
Itzel Ana María Tejada Delgado,49,técnico,viudo,otro,no,si,220267,si,no,otro,dic,3,530,233,exitoso,no,57452898,casa
Mtro. Norma Caballero,24,técnico,divorciado,universitaria,no,si,425751,si,no,telefono fijo,feb,14,694,445,fracaso,no,38822225,aparta estudio
Marisol Zelaya,58,otro,divorciado,tecnica,no,si,738946,si,si,telefono fijo,ago,4,283,854,inexistente,ninguno,80521854,finca
Marisol Zelaya,58,otro,divorciado,tecnica,no,si,738946,si,si,telefono fijo,ago,4,283,854,inexistente,ninguno,59299699,apartamento
Felix Valencia,51,emprendedor,viudo,tecnologia,no,no,227707,si,no,celular,abr,26,995,200,exitoso,no,90558156,otro
Gilberto Zarate Terán,65,técnico,soltero,ninguno,no,si,599056,no,si,celular,ene,8,865,738,fracaso,si,99995646,casa
Amador Ruby Castro,87,técnico,soltero,ninguno,si,no,786402,no,no,otro,ene,29,655,18,exitoso,no,26138454,finca
Sofía Florencia Méndez,69,desempleado,divorciado,posgrado,no,si,734283,si,no,celular,feb,22,868,419,otro,ninguno,70992834,otro
Emiliano Angulo Mayorga,87,otro,soltero,otro,no,no,793579,si,si,telefono fijo,may,10,784,417,inexistente,no,61024137,aparta estudio
Raúl María del Carmen Quezada,83,desempleado,soltero,tecnica,si,no,300495,no,no,telefono fijo,ene,23,63,185,inexistente,ninguno,81688414,casa
Dr. Gabriel Montenegro,59,otro,soltero,secundaria,si,no,545570,si,no,otro,may,22,47,256,otro,si,73778726,otro
Augusto Yáñez Zavala,80,otro,viudo,otro,no,si,552517,si,no,celular,may,20,907,211,inexistente,no,32766859,finca
Darío Peña Ramírez,62,obrero,soltero,otro,si,no,598222,no,no,telefono fijo,feb,18,217,139,exitoso,si,88233696,aparta estudio
Ing. Miguel Ornelas,21,estudiante,soltero,secundaria,no,si,234998,si,no,celular,dic,31,254,197,otro,si,21624837,apartamento
Ing. Mariano Armendáriz,18,otro,soltero,universitaria,no,no,906972,si,no,celular,mar,12,349,97,inexistente,si,74294302,apartamento
Mario Montalvo Osorio,40,admin,casado,otro,no,no,20574,si,no,otro,may,25,267,853,,ninguno,30435826,casa
Nelly Juan Carlos Ruiz Robles,58,emprendedor,viudo,secundaria,si,si,103902,si,si,celular,jul,6,675,526,inexistente,no,21612116,otro
Gonzalo Nadia Maya,47,desconocido,divorciado,posgrado,si,no,58807,no,si,telefono fijo,sep,5,539,465,exitoso,no,45357871,otro
Fidel Casárez,57,independiente,casado,posgrado,si,si,266966,no,no,celular,mar,19,643,765,inexistente,ninguno,21475250,casa
Aldo Alfredo Guerrero,40,emprendedor,casado,secundaria,si,no,764055,no,no,celular,ago,17,819,642,exitoso,si,66231000,otro
Catalina Nancy Aparicio Aguilera,58,jubilado,divorciado,secundaria,no,no,790218,si,no,celular,oct,29,836,156,otro,no,71883078,apartamento
Liliana Rosales Alcántar,78,admin,soltero,maestria,si,si,676642,no,si,otro,ene,14,356,301,otro,si,49933852,casa
Leonardo Véliz,42,admin,casado,tecnica,si,no,686938,no,si,celular,ago,24,619,30,fracaso,no,75428629,apartamento
Dalia Arellano Polanco,79,emprendedor,casado,secundaria,no,si,97794,si,si,telefono fijo,nov,18,210,528,otro,si,85952277,casa
Jonás Julio Linares Zedillo,44,emprendedor,soltero,ninguno,si,si,40807,no,no,otro,jul,27,815,998,exitoso,ninguno,32700259,otro
Humberto Benítez Anguiano,41,estudiante,viudo,otro,si,si,643453,si,si,otro,oct,22,637,875,otro,no,92962522,aparta estudio
Santiago Sisneros Granados,76,estudiante,divorciado,secundaria,no,no,128079,no,si,celular,sep,28,728,367,inexistente,no,52409040,aparta estudio
Marisol Padilla Guardado,58,otro,soltero,otro,si,no,874277,no,no,telefono fijo,mar,21,779,403,inexistente,ninguno,56421023,finca
Dr. Eva Gamboa,55,otro,casado,universitaria,si,si,362304,no,si,celular,sep,30,36,113,fracaso,no,68119092,casa
Yuridia Caraballo Ramírez,18,gerente,soltero,primaria,si,si,436339,no,si,telefono fijo,nov,3,762,582,exitoso,no,67355421,otro
Modesto Aldonza Salazar Ybarra,20,emprendedor,soltero,primaria,si,no,642188,no,si,otro,mar,24,314,73,,ninguno,89291278,finca
Yeni Tapia,31,otro,viudo,secundaria,no,no,423528,si,si,celular,mar,30,339,300,fracaso,ninguno,32001682,aparta estudio
Eric Guerrero,32,otro,casado,doctorado,si,no,166133,no,no,otro,jul,22,922,336,inexistente,no,27656701,casa
Mtro. Natalia Tapia,19,servicios,divorciado,maestria,si,si,361755,si,no,telefono fijo,feb,19,769,881,exitoso,si,28120004,finca
Elena Mariano Irizarry,43,técnico,viudo,ninguno,si,si,857545,no,no,telefono fijo,jun,17,763,373,otro,ninguno,95376917,otro
Dr. Jonás Villarreal,46,independiente,viudo,tecnica,si,no,394229,si,si,telefono fijo,oct,25,60,263,exitoso,no,95368569,apartamento
Esperanza Parra Uribe,70,estudiante,viudo,primaria,no,no,323978,no,no,telefono fijo,jun,10,127,96,otro,ninguno,68733815,finca
Porfirio Nicolás Carranza Valdivia,36,independiente,soltero,maestria,no,si,436963,no,no,celular,dic,19,320,254,inexistente,si,36790832,otro
Rocío Sessa Rincón Feliciano,58,jubilado,casado,tecnica,si,si,888620,si,si,otro,nov,15,224,695,otro,no,25555597,aparta estudio
Catalina Dulce María Espino Guillen,76,obrero,casado,otro,no,si,373566,si,si,telefono fijo,ago,28,840,588,fracaso,no,76149618,apartamento
Lic. Leonor Aguilar,25,otro,soltero,tecnologia,no,si,563293,no,no,celular,mar,15,21,32,inexistente,no,97744229,otro
Federico Sosa Balderas,26,otro,soltero,universitaria,no,no,937721,no,no,telefono fijo,feb,23,634,913,fracaso,ninguno,69579018,aparta estudio
Mtro. Rodrigo Segovia,53,desempleado,viudo,tecnica,no,si,933835,no,si,celular,jul,26,114,846,otro,si,56331431,aparta estudio
Úrsula Claudia de la Rosa Griego,73,admin,viudo,secundaria,no,no,368567,si,no,telefono fijo,mar,14,154,303,otro,ninguno,17718798,aparta estudio
Andrea Arguello,57,jubilado,casado,ninguno,si,si,654195,no,si,telefono fijo,abr,2,510,128,exitoso,si,29447074,otro
Mauro Josefina Archuleta,42,jubilado,viudo,posgrado,si,si,798267,no,no,telefono fijo,feb,17,166,833,exitoso,si,32423412,otro
Rosario Barragán Alarcón,20,técnico,divorciado,universitaria,si,si,50736,no,no,telefono fijo,dic,2,159,758,exitoso,ninguno,58149896,finca
Ing. Abigail Trejo,78,estudiante,divorciado,ninguno,si,no,114783,si,no,celular,may,25,410,138,exitoso,ninguno,16334520,aparta estudio
Agustín Uribe,53,obrero,divorciado,secundaria,no,si,850482,no,si,otro,ene,15,218,798,exitoso,si,62519271,otro
José Luis Bernardo Rivas,87,emprendedor,casado,tecnica,si,no,565095,no,si,celular,feb,12,607,531,fracaso,si,61882919,apartamento
Sr(a). Dulce Aguilar,62,gerente,viudo,posgrado,no,no,254274,si,no,otro,abr,18,751,524,fracaso,si,88331449,casa
Judith Caballero Grijalva,27,técnico,casado,secundaria,no,si,417032,si,si,telefono fijo,ago,5,996,597,otro,si,20962770,casa
Ing. Espartaco Chapa,79,otro,divorciado,ninguno,no,si,765235,si,si,otro,nov,17,290,589,otro,ninguno,99535158,otro
Leonardo Elias Segura Urrutia,53,técnico,viudo,otro,no,no,111693,no,no,telefono fijo,abr,19,129,2,fracaso,ninguno,65818937,casa
Karina Treviño Ontiveros,18,desconocido,divorciado,secundaria,si,no,130575,si,no,telefono fijo,ago,8,656,448,otro,ninguno,54800576,apartamento
Rolando Montero,69,jubilado,viudo,posgrado,no,si,303629,no,no,otro,sep,10,521,545,exitoso,no,34775665,aparta estudio
Alvaro Víctor Moya Trejo,49,servicios,soltero,otro,no,si,734666,si,si,telefono fijo,oct,2,774,123,exitoso,si,95648739,apartamento
Genaro Vallejo Bahena,75,admin,casado,tecnologia,si,no,971343,no,no,otro,sep,3,726,418,,no,34341930,casa
Anabel Partida,82,emprendedor,viudo,tecnologia,no,si,840013,no,no,celular,sep,2,836,647,otro,ninguno,72657871,finca
Pamela Lugo de la Garza,83,estudiante,casado,ninguno,si,no,723602,no,no,otro,oct,15,258,952,exitoso,no,54276605,casa
Delia Montaño Villareal,27,estudiante,divorciado,ninguno,si,no,889790,no,no,telefono fijo,abr,2,836,288,fracaso,si,92454289,apartamento
Eva Guadalupe Orozco Santillán,35,emprendedor,soltero,universitaria,si,si,153626,si,no,telefono fijo,ene,20,59,240,otro,no,50515256,apartamento
Lic. Sessa Cordero,56,desconocido,casado,tecnica,no,si,824841,no,no,celular,nov,8,830,997,otro,no,33461038,casa
Sr(a). Aldonza García,25,otro,soltero,ninguno,si,si,105228,si,no,otro,abr,30,659,995,fracaso,si,45985301,casa
Bianca Hinojosa,24,otro,divorciado,doctorado,si,si,945709,no,si,otro,sep,23,633,90,inexistente,ninguno,73736287,casa
César Esparta Villegas Santiago,48,independiente,divorciado,ninguno,no,no,756847,no,no,celular,ago,2,520,126,fracaso,ninguno,60991086,finca
Guadalupe Hernádez,27,desempleado,soltero,universitaria,si,no,375537,no,si,telefono fijo,may,25,920,878,inexistente,ninguno,57007910,casa
Mtro. Abraham Lovato,28,técnico,soltero,primaria,no,no,645989,si,no,celular,jul,10,883,352,,si,82513345,casa
Renato Guardado,68,desempleado,soltero,tecnica,si,si,198093,no,si,celular,jun,11,193,656,exitoso,si,28859638,aparta estudio
Lic. Alejandra Posada,68,emprendedor,viudo,secundaria,si,no,4506,si,no,telefono fijo,ago,21,66,740,exitoso,no,36568901,aparta estudio
Rolando Isabel Calderón,77,desconocido,viudo,secundaria,no,no,514080,si,si,otro,dic,2,54,731,fracaso,si,40904312,otro
Arcelia Trinidad Garza Estrada,45,emprendedor,viudo,tecnica,no,no,66240,si,si,celular,abr,20,610,946,inexistente,no,26983452,apartamento
Claudia Alonzo Loera,22,desempleado,viudo,universitaria,si,si,696690,no,no,celular,jun,11,611,643,fracaso,si,68046423,finca
Jacobo Olivia Carrión Esquibel,28,obrero,soltero,posgrado,no,no,734779,no,si,celular,ene,27,807,362,otro,no,93900237,aparta estudio
Isabela María Alejandro Velasco,69,gerente,divorciado,secundaria,no,no,396288,si,no,otro,feb,26,70,747,otro,si,29999353,apartamento
Julio César Juan Carlos Barraza Ballesteros,34,desempleado,casado,secundaria,si,si,470008,si,no,celular,dic,3,413,604,exitoso,ninguno,57621628,finca
María Teresa Oquendo Prado,22,desempleado,casado,maestria,si,si,365952,no,si,telefono fijo,jul,23,189,388,exitoso,ninguno,64087128,casa
Hugo García,23,gerente,viudo,primaria,no,si,782179,si,no,celular,dic,24,644,141,otro,si,22480914,apartamento
Ofelia Abelardo Nájera Solorzano,48,estudiante,divorciado,universitaria,no,no,947640,no,si,telefono fijo,jul,2,840,478,otro,si,15593932,otro
Pedro Rafaél Fierro,37,obrero,viudo,secundaria,si,no,618904,si,no,celular,nov,18,557,417,fracaso,no,22713385,finca
Gregorio Carreón,56,desempleado,divorciado,secundaria,no,si,398510,si,no,otro,may,19,279,765,otro,ninguno,21494419,casa
Amanda Andrés Arevalo Santacruz,68,desconocido,soltero,universitaria,no,no,860478,no,no,celular,dic,26,999,511,,si,42687994,otro
Lic. Cynthia Altamirano,68,obrero,casado,secundaria,no,si,961303,no,si,otro,ene,22,38,405,inexistente,no,82285478,apartamento
Luisa Robledo Puga,76,obrero,divorciado,maestria,si,si,746893,si,no,otro,ago,27,133,851,otro,ninguno,38374323,casa
Javier Montes Cortez,23,emprendedor,viudo,primaria,no,si,698344,no,no,otro,ago,12,237,49,fracaso,si,39717799,finca
Rocío Emiliano Estrada Almaraz,80,jubilado,viudo,otro,si,no,270725,no,no,celular,mar,13,638,458,exitoso,ninguno,51235505,aparta estudio
Elisa Prieto Naranjo,90,emprendedor,casado,tecnologia,no,si,390439,no,no,celular,oct,2,271,650,exitoso,no,10745755,aparta estudio
Aldonza Tania Véliz,72,desempleado,viudo,tecnologia,si,no,218148,si,no,telefono fijo,oct,19,123,598,inexistente,no,58101905,aparta estudio
Zeferino Sandoval,78,estudiante,divorciado,secundaria,no,no,367517,no,no,celular,nov,30,995,406,,si,53099342,apartamento
Georgina Isabela Mascareñas,70,desconocido,soltero,tecnica,no,si,680881,si,no,otro,ene,15,593,133,fracaso,no,11078732,otro
Mtro. Roberto Escamilla,44,emprendedor,divorciado,primaria,no,si,965036,no,no,otro,sep,9,378,648,exitoso,si,21885299,finca
Jaime Anel Cedillo,36,emprendedor,viudo,secundaria,si,si,71736,no,si,celular,oct,19,460,201,fracaso,ninguno,99678943,finca
Karla Bustos,20,desempleado,soltero,universitaria,si,si,568743,si,no,telefono fijo,jun,3,613,723,inexistente,ninguno,47542984,apartamento
Adalberto Lorenzo Cabrera Sotelo,65,obrero,casado,maestria,si,no,561687,no,si,celular,feb,19,664,169,inexistente,no,84704009,finca
Javier Terrazas,63,servicios,casado,doctorado,no,si,652398,si,no,otro,sep,25,775,614,exitoso,no,55590581,apartamento
Araceli Rafaél Cadena,82,jubilado,viudo,posgrado,si,no,70067,si,no,celular,ene,19,403,190,inexistente,no,39297170,apartamento
Lic. Lorena Bahena,66,servicios,viudo,secundaria,si,no,537718,si,no,celular,jun,4,195,407,fracaso,si,28196009,casa
Mtro. Eloisa Esquivel,40,desempleado,casado,doctorado,si,no,525353,no,no,otro,jun,25,246,871,exitoso,no,64771629,apartamento
Dr. Alfredo Alcántar,53,desconocido,casado,otro,si,si,816231,no,no,otro,jun,16,405,800,fracaso,ninguno,98460513,finca
Carolina Palomino Mondragón,78,desconocido,divorciado,secundaria,si,no,797006,no,no,telefono fijo,jun,8,892,717,fracaso,si,61420104,otro
Andrés Gabriel Tirado Zúñiga,69,técnico,divorciado,posgrado,si,si,417727,no,si,celular,jul,23,426,555,exitoso,no,69134608,aparta estudio
Eugenia Montoya Briseño,36,admin,viudo,otro,no,si,550198,si,si,otro,feb,1,364,330,otro,no,78762960,finca
Blanca Arcelia Osorio,56,técnico,viudo,universitaria,no,si,70329,no,si,celular,sep,10,338,204,inexistente,no,51181578,finca
Francisco Bañuelos,60,estudiante,divorciado,universitaria,no,no,586936,no,no,celular,ago,26,196,235,fracaso,no,82228646,otro
Ángel Briseño,35,emprendedor,divorciado,otro,no,no,718432,si,no,telefono fijo,oct,18,934,521,inexistente,ninguno,19139655,casa
Salma Andrea Garay Bustamante,87,gerente,divorciado,primaria,si,no,710060,no,no,celular,jun,30,108,421,,si,63291801,aparta estudio
Marcela Tirado,78,independiente,viudo,doctorado,no,si,359552,si,si,telefono fijo,abr,6,457,215,fracaso,no,93059160,casa
Reina Asunción Aguilera Reyna,52,obrero,viudo,secundaria,si,no,358243,no,si,telefono fijo,sep,22,984,824,inexistente,ninguno,74522094,otro
Fabiola Acevedo,83,jubilado,divorciado,primaria,si,no,34872,si,si,telefono fijo,oct,1,738,795,inexistente,no,19824838,apartamento
Alta  Gracia Rolando Baeza Serrano,60,independiente,divorciado,doctorado,si,si,757404,si,si,telefono fijo,nov,29,946,967,otro,si,44649496,finca
José Carlos Eugenia Lovato,58,otro,soltero,secundaria,no,no,816869,no,no,telefono fijo,mar,3,613,567,inexistente,ninguno,22679473,aparta estudio
Dr. Abraham Urrutia,36,técnico,viudo,posgrado,si,no,499353,si,si,otro,feb,30,32,162,otro,no,91356141,casa
Carlos Palacios Alonso,38,otro,divorciado,otro,no,si,622277,si,no,telefono fijo,oct,25,195,730,exitoso,si,55931406,casa
Timoteo Anguiano Medina,90,independiente,viudo,tecnologia,no,no,417317,si,no,celular,feb,8,135,874,fracaso,ninguno,26708952,casa
Rosa Cortés Fierro,61,otro,divorciado,ninguno,no,no,131789,si,no,celular,jul,29,82,611,exitoso,no,97462453,aparta estudio
Juana Sotelo,40,independiente,viudo,secundaria,si,no,345914,si,si,telefono fijo,oct,10,191,63,inexistente,ninguno,27477335,finca
Gabino Esther Pérez Sánchez,41,desconocido,soltero,secundaria,si,si,210526,si,no,celular,jun,10,725,980,fracaso,ninguno,24276200,casa
José Luis Daniela Lozano Delgadillo,41,servicios,soltero,universitaria,no,no,906022,no,no,otro,sep,20,135,908,otro,no,95056960,finca
Violeta Reina Nieto Flórez,71,servicios,casado,doctorado,no,no,718806,si,si,celular,ago,7,946,749,inexistente,no,83528654,apartamento
Minerva Otero Chavarría,18,estudiante,casado,primaria,no,si,702050,no,si,telefono fijo,jun,9,935,210,fracaso,si,96379024,finca
Blanca Ruby Melgar,42,técnico,viudo,ninguno,si,si,188525,no,si,otro,dic,3,491,781,inexistente,si,12797202,apartamento
José Carlos Mateo Cantú Terrazas,23,desempleado,soltero,doctorado,no,si,870639,no,si,otro,mar,31,865,782,otro,ninguno,61483614,aparta estudio
Sr(a). Augusto Mascareñas,53,jubilado,divorciado,otro,no,si,579321,si,si,otro,jul,28,42,289,otro,no,82510083,apartamento
Cristina María Luisa Juárez Avilés,20,independiente,viudo,doctorado,no,no,896820,no,no,celular,abr,9,584,188,otro,no,80816046,finca
Sr(a). Abraham Toro,26,desempleado,soltero,otro,no,si,252453,no,si,celular,dic,21,812,43,inexistente,ninguno,51474878,casa
Cristina Palomino Zarate,65,jubilado,viudo,otro,no,si,18382,si,no,celular,dic,30,624,150,fracaso,no,81957351,otro
Mtro. Gabino Anguiano,40,otro,viudo,tecnica,si,si,285639,no,si,telefono fijo,jul,13,660,189,inexistente,ninguno,32729875,casa
Marcos Mejía Bermúdez,19,servicios,divorciado,secundaria,si,si,588599,si,no,telefono fijo,abr,25,575,328,fracaso,no,87833723,aparta estudio
Luis Manuel Casas Palomo,51,independiente,soltero,secundaria,no,si,218308,si,no,otro,dic,6,811,742,inexistente,ninguno,68300630,aparta estudio
Carlos Valencia Becerra,71,jubilado,soltero,ninguno,no,si,437173,no,si,telefono fijo,may,15,980,106,fracaso,si,78896648,otro
Abelardo Limón Carvajal,18,independiente,casado,otro,no,no,147755,no,si,otro,ago,9,412,935,otro,no,20004684,otro
Jerónimo Arriaga Cortez,31,admin,soltero,doctorado,no,no,986186,si,si,otro,nov,21,883,704,inexistente,no,79049158,casa
Mtro. Úrsula Vera,58,técnico,divorciado,tecnologia,no,si,283167,no,si,celular,jun,21,843,91,fracaso,si,36523068,otro
Julio César Valdivia,25,gerente,soltero,otro,no,si,93222,si,no,telefono fijo,may,9,184,376,otro,si,32559734,otro
Guillermo Claudio Valadez,52,técnico,viudo,ninguno,no,si,626012,si,no,telefono fijo,feb,30,901,403,exitoso,si,46680518,otro
Ricardo Socorro Galindo Orta,67,gerente,soltero,primaria,si,no,436181,si,si,otro,sep,21,172,611,exitoso,ninguno,43156235,apartamento
Enrique Homero Feliciano Mayorga,19,servicios,casado,tecnologia,si,si,117594,si,no,celular,abr,31,532,672,inexistente,no,94082147,finca
Irene Ulloa Arias,23,otro,divorciado,primaria,si,si,391101,no,no,otro,sep,9,670,57,fracaso,ninguno,46810082,apartamento
Marcela Gil Longoria,69,otro,divorciado,doctorado,no,si,965954,si,no,otro,abr,26,61,401,fracaso,si,16223497,casa
Dr. Eugenia Juárez,68,servicios,soltero,tecnica,no,si,814526,no,no,otro,sep,27,136,350,exitoso,ninguno,36913412,apartamento
Jorge Luis Peres Santillán,76,obrero,soltero,tecnologia,no,no,29647,si,si,telefono fijo,ago,17,241,591,fracaso,si,85891097,finca
Guillermo Alvarez,52,desconocido,soltero,tecnica,si,no,742546,no,si,celular,feb,20,656,117,fracaso,no,62840816,casa
Rosario Madera,34,servicios,divorciado,universitaria,no,no,811126,si,si,celular,feb,25,900,962,otro,si,42162994,otro
Sr(a). Victoria Galarza,26,estudiante,casado,universitaria,no,si,294790,si,no,celular,ene,24,151,267,inexistente,ninguno,55077013,otro
Dr. Blanca Tapia,34,desconocido,viudo,secundaria,si,no,788254,no,si,otro,feb,3,83,719,fracaso,si,39616418,casa
Camila Corral de la Rosa,43,desconocido,viudo,primaria,si,no,204077,no,no,otro,dic,26,517,464,fracaso,no,25531500,apartamento
Raúl Zúñiga,23,desempleado,viudo,universitaria,si,no,564606,no,no,telefono fijo,jun,29,592,810,fracaso,ninguno,84596758,apartamento
Lic. Jos Madrigal,77,independiente,viudo,otro,si,si,467982,no,si,otro,oct,21,243,319,exitoso,si,85155351,aparta estudio
Ing. Dulce María Casillas,63,estudiante,viudo,secundaria,no,si,779862,no,si,otro,sep,1,775,655,inexistente,ninguno,88824258,aparta estudio
Isaac Baeza,58,obrero,divorciado,otro,si,si,592764,si,no,otro,may,21,663,950,inexistente,si,62336248,apartamento
Eugenio Miriam Cabrera Rivas,50,gerente,casado,secundaria,no,si,546829,no,no,otro,feb,13,242,915,exitoso,ninguno,92171767,apartamento
Claudia Chávez,71,independiente,divorciado,doctorado,no,si,557467,si,si,telefono fijo,nov,20,713,326,inexistente,no,75511399,finca
