nombre,edad,ocupacion,estado_civil,nivel_educativo,deudas,incumplimiento,balance,hipotecario,tarjeta_credito,medio_contacto,mes_ultimo_contacto,dia_ultimo_contacto,duracion_ultimo_contacto,contactos_realizados,resultado_ultima_campana,prestamo_personal
Rodrigo Rocha,30,estudiante,casado,posgrado,si,si,819697,no,no,telefono fijo,oct,6,4,489,otro,ninguno
Mariana Gómez Narváez,49,gerente,soltero,secundaria,si,si,422329,no,si,telefono fijo,jun,16,182,747,fracaso,ninguno
Arcelia Niño Robles,500,técnico,divorciado,tecnologia,si,si,889563,no,si,otro,mar,6,345,536,fracaso,ninguno
Tania Lozano Benítez,79,gerente,viudo,ninguno,no,si,115641,no,si,telefono fijo,sep,22,606,287,exitoso,si
Luisa Colón Tamez,42,admin,viudo,ninguno,no,no,216057,no,no,telefono fijo,abr,11,756,264,,ninguno
Sr(a). Vicente Grijalva,62,técnico,viudo,tecnologia,no,no,487638,no,no,otro,feb,19,778,610,inexistente,ninguno
Mtro. Florencia Arteaga,75,admin,soltero,tecnologia,si,no,679250,no,si,,dic,16,233,788,,ninguno
José Emilio Ulibarri Vega,70,independiente,soltero,maestria,si,si,792794,no,no,telefono fijo,dic,19,107,64,,ninguno
Mtro. Óliver Collazo,59,obrero,casado,posgrado,no,no,384797,si,no,,mar,14,815,822,fracaso,si
Rolando de la Rosa,82,servicios,divorciado,doctorado,si,si,305344,si,si,telefono fijo,jun,27,344,596,exitoso,si
Nayeli Liliana Barrera,78,emprendedor,viudo,,no,si,833464,si,si,telefono fijo,sep,16,598,754,fracaso,ninguno
Maximiliano Yuridia Puente,67,independiente,viudo,tecnica,no,no,937386,no,si,celular,dic,30,157,51,,si
Carolina Cortez,82,,casado,secundaria,si,si,123969,no,no,,oct,4,57,567,otro,no
Eloisa Elisa Ocampo Valladares,73,obrero,casado,ninguno,si,si,936981,si,si,celular,jul,10,746,815,exitoso,no
José Carlos Burgos,500,emprendedor,casado,ninguno,si,no,181420,si,no,,feb,12,454,509,otro,si
Raúl Estévez,150,otro,viudo,doctorado,no,no,941944,si,si,telefono fijo,ago,1,175,723,fracaso,no
Raúl Dalia Guzmán Estévez,550,estudiante,viudo,otro,si,no,612645,si,no,telefono fijo,ene,30,608,750,exitoso,no
Hugo Cavazos,36,otro,casado,tecnologia,no,no,919231,si,no,telefono fijo,ago,25,579,415,fracaso,no
Rodrigo Débora Armas Barreto,58,independiente,viudo,secundaria,no,no,86475,si,si,telefono fijo,feb,6,107,459,inexistente,si
Guadalupe Villalobos,23,gerente,divorciado,universitaria,no,si,466513,si,si,,nov,23,186,434,inexistente,ninguno
Alicia Mascareñas Limón,500,independiente,casado,ninguno,no,no,439998,si,no,telefono fijo,abr,30,537,417,fracaso,ninguno
Patricia Jesús Gamboa,600,estudiante,soltero,primaria,no,no,510843,si,si,otro,abr,22,655,40,exitoso,ninguno
Dr. Raquel Domínguez,21,independiente,divorciado,secundaria,si,si,827401,no,si,,abr,2,452,759,otro,no
Lic. Julio César Alvarado,74,admin,divorciado,doctorado,si,no,558237,no,no,celular,mar,31,804,294,inexistente,no
Andrés Rojo Mares,18,jubilado,viudo,maestria,no,si,799772,no,si,,mar,2,824,253,fracaso,si
Dr. Socorro Heredia,72,otro,casado,primaria,no,si,859251,no,si,otro,dic,31,447,764,fracaso,si
Julia Rojo Barragán,21,,divorciado,tecnologia,si,no,304252,si,no,celular,jul,24,392,680,fracaso,no
Clara Elvira Sotelo Tamayo,29,servicios,divorciado,universitaria,si,si,465165,no,si,otro,sep,26,347,237,exitoso,ninguno
Gloria Yolanda Arellano Casillas,26,servicios,viudo,posgrado,no,no,403785,si,si,celular,ene,15,863,393,fracaso,ninguno
Reynaldo Anel Molina Villareal,31,estudiante,soltero,otro,si,no,829931,si,no,,nov,4,886,414,inexistente,si
Socorro Noelia Delgadillo Moreno,450,obrero,viudo,tecnologia,no,no,138883,no,si,telefono fijo,oct,4,399,535,exitoso,ninguno
Sr(a). María Cristina Paredes,300,obrero,soltero,maestria,no,no,26891,si,si,,ago,10,340,708,exitoso,si
Francisca González Aguirre,49,otro,soltero,tecnologia,no,no,673212,no,no,,jun,12,812,245,fracaso,ninguno
Martín Yolanda Carvajal,300,independiente,soltero,tecnologia,no,no,727390,no,si,,may,1,59,881,,si
Clemente Figueroa,50,gerente,soltero,universitaria,no,no,530641,no,si,celular,sep,26,60,456,otro,ninguno
Luis Miguel Esquibel Ceja,77,estudiante,divorciado,tecnica,no,si,339472,si,no,celular,ago,28,666,711,,ninguno
Evelio Elena Mascareñas,47,desconocido,divorciado,ninguno,no,no,842224,no,si,otro,dic,12,498,597,otro,no
Esparta Miguel de la Fuente Alba,28,otro,casado,doctorado,si,no,309845,no,no,telefono fijo,ene,5,31,244,,si
Dr. Flavio de León,59,técnico,casado,primaria,si,no,281314,si,no,telefono fijo,may,31,465,613,inexistente,no
Clara Marisol Soria Valle,75,obrero,divorciado,tecnologia,no,no,727866,no,si,celular,ago,28,42,345,,no
Alejandro Velázquez,47,independiente,casado,maestria,no,no,392148,si,no,celular,oct,31,401,349,fracaso,si
Lic. Antonia Mayorga,24,desempleado,soltero,otro,si,si,577282,si,si,,may,10,737,565,fracaso,si
María José Sisneros,56,desempleado,soltero,secundaria,si,si,112958,no,si,telefono fijo,jun,6,382,61,,si
Cynthia Leal,79,servicios,casado,secundaria,no,si,918481,no,no,otro,dic,4,967,918,exitoso,ninguno
Josefina Montalvo,24,emprendedor,casado,posgrado,si,no,410592,si,no,celular,mar,13,679,397,,si
Ing. Aldo Grijalva,35,servicios,viudo,doctorado,si,si,692506,si,no,otro,jul,26,115,859,,ninguno
Leticia Balderas,63,obrero,soltero,maestria,si,si,123966,no,no,otro,jun,3,865,823,fracaso,si
Lourdes Jonás Espinosa Rojo,150,técnico,divorciado,primaria,si,no,773850,si,no,,may,17,24,625,otro,si
Noemí Muro,100,emprendedor,soltero,universitaria,si,si,684367,si,si,telefono fijo,sep,25,884,279,,ninguno
René Olga Barrientos,59,admin,divorciado,doctorado,no,no,66615,si,si,celular,ago,21,219,246,fracaso,ninguno
Laura Francisco Javier Calvillo,68,,soltero,primaria,no,no,836776,si,no,celular,mar,30,649,826,,ninguno
Magdalena Soria Piña,33,emprendedor,soltero,secundaria,no,si,494894,si,no,celular,nov,31,650,539,,ninguno
Violeta Indira Rendón Ramírez,18,admin,soltero,tecnica,si,no,416918,no,no,telefono fijo,mar,9,921,534,exitoso,no
Dr. Cornelio Pineda,81,desconocido,divorciado,maestria,no,si,545355,no,si,,abr,5,226,114,exitoso,no
Lourdes Saucedo,82,emprendedor,viudo,secundaria,si,si,447667,si,si,,abr,30,178,740,exitoso,ninguno
Tania Gracia,59,servicios,soltero,tecnica,si,si,595319,si,no,,jul,3,934,512,otro,si
Patricio Herrera,62,,soltero,posgrado,si,si,935234,no,no,telefono fijo,may,10,327,899,fracaso,si
Úrsula Pilar Caraballo,59,servicios,casado,doctorado,si,no,916698,si,no,,jun,29,366,905,exitoso,si
Olivia Rocío Sarabia Miranda,45,emprendedor,divorciado,maestria,si,no,970367,no,si,otro,oct,28,644,65,exitoso,no
Itzel Esparza Terán,20,estudiante,soltero,universitaria,si,si,181980,si,si,telefono fijo,may,12,365,456,,no
Marisela Pablo Quiñónez Montaño,36,servicios,divorciado,,no,si,111125,si,si,celular,ene,10,877,320,exitoso,ninguno
Bernabé Juan Paz,58,servicios,divorciado,,si,no,475699,si,si,otro,abr,26,239,426,fracaso,ninguno
Nayeli Quiroz Angulo,77,técnico,viudo,secundaria,si,no,804424,no,si,,ene,2,900,201,fracaso,ninguno
Nelly Isaac Gallardo,28,técnico,divorciado,secundaria,no,si,98558,no,si,otro,ago,25,299,173,,ninguno
Lic. Eric Rojas,72,técnico,viudo,secundaria,no,si,621997,si,si,celular,nov,17,803,490,,ninguno
Carlota Cervántez,59,otro,soltero,tecnologia,no,si,27602,si,si,telefono fijo,dic,2,922,729,,si
Lic. Carlota Aguilar,400,obrero,divorciado,maestria,no,si,60904,no,no,telefono fijo,dic,23,856,10,otro,si
Diana Canales Calvillo,22,emprendedor,divorciado,ninguno,si,si,327829,si,si,,mar,12,758,398,fracaso,ninguno
Renato Dalia Acevedo Serrato,250,obrero,soltero,tecnica,si,si,369659,no,no,telefono fijo,dic,13,361,482,otro,si
Jerónimo Gonzalo de Jesús Mondragón,46,emprendedor,viudo,otro,si,no,616055,no,si,,ago,21,606,565,exitoso,ninguno
Ing. Rosalia Casárez,68,desconocido,divorciado,doctorado,no,si,353434,no,no,,dic,25,271,436,inexistente,ninguno
Fidel Casillas Zayas,80,servicios,viudo,doctorado,no,si,177263,si,si,telefono fijo,nov,19,198,317,exitoso,ninguno
Dr. Andrés Ríos,400,desempleado,soltero,posgrado,no,si,91990,si,no,telefono fijo,abr,10,564,774,exitoso,si
Ing. Octavio Arroyo,38,independiente,viudo,tecnica,no,no,746873,no,no,telefono fijo,ago,2,524,645,exitoso,si
Augusto Pérez,81,otro,casado,secundaria,no,no,444493,no,si,telefono fijo,may,14,48,340,fracaso,no
Ignacio Reséndez,48,emprendedor,soltero,secundaria,si,no,585143,no,si,,oct,4,882,972,exitoso,no
Esther Blanca Muro,500,jubilado,viudo,posgrado,si,no,184789,no,no,celular,jul,16,623,47,inexistente,no
Hilda Nicolás Carvajal Esquivel,49,admin,soltero,tecnica,no,si,925771,no,si,,dic,4,859,233,inexistente,no
Juan Carlos Orozco,32,estudiante,casado,ninguno,no,si,273385,no,si,telefono fijo,jul,26,99,578,inexistente,si
Esmeralda Segura,79,servicios,soltero,primaria,no,no,272929,no,si,celular,oct,3,196,283,inexistente,no
Renato Javier Gallegos,43,admin,viudo,otro,no,no,251578,no,si,otro,oct,29,692,980,otro,si
Cristobal Claudio Gil,45,desempleado,casado,posgrado,si,no,309193,si,si,telefono fijo,abr,9,322,463,inexistente,ninguno
Ing. Nadia Fonseca,72,admin,casado,ninguno,si,si,243052,si,no,otro,jun,13,521,21,exitoso,ninguno
Rebeca Benjamín Suárez,32,desconocido,soltero,maestria,si,si,473530,si,si,otro,feb,5,4,584,inexistente,ninguno
Raúl Velázquez Mota,22,desempleado,viudo,tecnologia,no,si,227282,si,no,telefono fijo,may,11,285,426,fracaso,no
Cristal Guadalupe Briones,75,servicios,viudo,tecnica,no,si,434438,no,si,telefono fijo,dic,9,757,571,fracaso,ninguno
Bernabé Casas Carrasco,72,independiente,divorciado,tecnologia,no,no,74334,no,no,telefono fijo,sep,6,888,539,inexistente,ninguno
Anabel Agustín Mondragón,650,desempleado,divorciado,tecnica,no,no,854610,si,si,celular,oct,19,149,831,inexistente,si
Laura Flavio Almonte,33,obrero,viudo,ninguno,no,no,743138,no,no,otro,ago,1,943,389,,no
Lic. Mariano Sepúlveda,73,independiente,soltero,primaria,si,si,351862,no,no,celular,feb,6,238,138,exitoso,si
Elsa Cabrera Grijalva,46,servicios,divorciado,primaria,no,si,84338,si,si,otro,may,21,235,664,inexistente,si
Héctor Yolanda González Carrera,25,,divorciado,primaria,no,si,188442,no,no,otro,jul,26,522,807,,si
María José Madera,83,emprendedor,soltero,otro,no,no,706144,si,si,otro,dic,15,841,221,otro,ninguno
Bernabé Barrientos Noriega,68,obrero,divorciado,otro,si,si,670841,si,no,otro,ene,14,265,827,fracaso,ninguno
Sr(a). Elsa Portillo,39,,casado,ninguno,no,no,107208,no,si,otro,jul,5,243,786,fracaso,si
Caridad Miranda,31,emprendedor,casado,secundaria,si,no,225121,no,no,telefono fijo,may,17,420,57,,si
Ignacio Trinidad Lira,29,otro,casado,tecnica,no,si,802424,no,no,,dic,16,456,664,,no
Mercedes Marisela Quiñónez,90,jubilado,soltero,ninguno,no,no,629596,si,no,celular,jul,25,637,919,fracaso,ninguno
Luz Colunga Reséndez,59,estudiante,casado,ninguno,si,si,895581,si,si,otro,ene,19,117,338,,ninguno
Araceli Badillo,59,desempleado,divorciado,,no,si,653442,no,si,celular,mar,31,126,858,inexistente,si
Paulina Vásquez,38,,divorciado,doctorado,si,no,745254,si,no,celular,oct,5,270,233,inexistente,si
Úrsula Miguel Ángel Rolón Sarabia,100,técnico,divorciado,otro,si,si,117415,no,no,celular,oct,23,989,257,fracaso,si
Jorge Luis Miguel Estrada,41,servicios,viudo,otro,si,no,185463,no,no,telefono fijo,sep,12,913,250,otro,si
Daniela Mateo Negrete Mojica,73,obrero,soltero,primaria,si,no,748067,si,no,otro,abr,31,711,327,exitoso,no
Víctor Toledo,600,,soltero,otro,no,no,831615,no,no,otro,may,16,335,841,fracaso,no
Ramón Romero Sánchez,36,gerente,casado,maestria,no,si,381243,si,si,otro,feb,28,160,277,exitoso,ninguno
Sr(a). Gloria Franco,59,desempleado,viudo,doctorado,si,si,945917,si,si,celular,oct,22,250,340,exitoso,si
José Manuél Felipe Sandoval Villa,49,jubilado,divorciado,secundaria,no,si,229348,no,si,otro,oct,28,143,435,fracaso,ninguno
Carlos Catalina Feliciano,67,desconocido,soltero,,si,si,646631,si,no,,ene,31,931,268,,no
Gonzalo Chavarría,250,independiente,casado,tecnologia,si,no,293051,no,si,telefono fijo,oct,19,418,463,fracaso,ninguno
Hermelinda Palomino,47,jubilado,viudo,primaria,si,no,622904,no,si,,jul,3,553,542,fracaso,ninguno
Sr(a). Mónica Reyes,61,estudiante,viudo,universitaria,no,no,956696,no,si,telefono fijo,mar,26,390,398,exitoso,si
Ángela Ana Luisa Terán Gamez,35,otro,viudo,secundaria,si,no,390900,si,no,celular,may,5,273,773,,ninguno
Héctor Martín Ontiveros,25,estudiante,viudo,universitaria,si,si,73290,no,no,celular,jul,28,378,727,inexistente,si
Jesús Barbara Martínez Galván,300,estudiante,casado,doctorado,no,no,454725,si,no,telefono fijo,may,8,450,130,otro,ninguno
Jorge Luis Carbajal Loera,43,jubilado,casado,,no,no,233989,si,no,otro,ago,6,14,540,otro,si
Ruby Miguel Ángel Nevárez Villagómez,57,desconocido,casado,primaria,no,si,531126,si,si,celular,abr,10,158,526,,no
Dr. Karla Laboy,66,desempleado,casado,doctorado,no,si,943131,no,no,telefono fijo,nov,21,201,872,fracaso,no
Ramón Arroyo Collazo,53,gerente,viudo,primaria,no,si,679467,si,no,,ene,23,504,856,fracaso,no
Ing. Camila Tórrez,26,desempleado,divorciado,primaria,si,si,593209,si,no,,jul,4,650,23,,si
Leticia Mata Abreu,700,técnico,viudo,maestria,si,si,635842,si,no,otro,ago,5,995,686,exitoso,si
Olivia Escobedo,48,desconocido,casado,primaria,no,no,274691,no,si,telefono fijo,feb,30,917,509,inexistente,no
Germán Eloy Tovar,550,jubilado,casado,,no,si,222482,si,si,celular,ago,3,319,842,,ninguno
Mtro. Isaac Gurule,77,desempleado,soltero,primaria,no,no,29853,no,no,celular,oct,12,479,262,,ninguno
Dr. Indira Maestas,70,emprendedor,viudo,posgrado,si,no,318188,no,no,otro,feb,18,985,116,inexistente,no
Concepción Cabán,60,estudiante,viudo,primaria,si,si,860543,no,si,,abr,5,597,996,otro,no
Mercedes Tania Posada,53,jubilado,viudo,secundaria,si,si,389169,si,si,celular,nov,15,767,253,inexistente,ninguno
Reynaldo Carvajal Garza,22,jubilado,soltero,otro,si,no,795327,si,si,otro,abr,25,451,743,exitoso,no
Abelardo Garrido,38,servicios,divorciado,universitaria,no,si,972585,si,si,otro,dic,5,683,816,exitoso,ninguno
Javier Rodolfo Hinojosa Acosta,95,servicios,soltero,universitaria,si,si,676443,si,si,telefono fijo,ene,12,417,619,exitoso,no
Israel Oswaldo Barrientos,600,jubilado,viudo,ninguno,no,si,245968,si,no,celular,jun,22,590,96,inexistente,si
Hernán Cristian Castro,58,técnico,viudo,posgrado,no,no,707143,si,no,otro,ene,22,916,566,,si
Reynaldo Ojeda Cintrón,51,,soltero,doctorado,no,no,230265,si,si,,abr,24,903,464,inexistente,si
Wilfrido Alfredo Barrientos Mayorga,25,,soltero,,no,si,812421,si,si,otro,may,3,951,452,fracaso,ninguno
Frida Guadalupe Acosta,150,desempleado,soltero,ninguno,no,si,568208,si,no,telefono fijo,sep,25,11,59,,no
Ricardo Sisneros Soria,23,desempleado,casado,otro,si,no,487468,no,no,telefono fijo,ago,8,884,195,exitoso,no
Gonzalo José Carlos Briones,51,desconocido,divorciado,primaria,no,si,624115,si,si,otro,nov,11,455,702,inexistente,ninguno
Camilo Zelaya Mena,200,emprendedor,casado,doctorado,si,si,34161,no,no,otro,nov,29,287,576,inexistente,si
Jerónimo Garza Echeverría,26,estudiante,divorciado,secundaria,no,no,522392,no,si,celular,dic,15,406,414,otro,no
Angélica Renato Méndez Guerrero,100,técnico,soltero,posgrado,si,no,798050,si,no,,jun,9,49,768,fracaso,no
Trinidad Armando Cardenas Grijalva,27,emprendedor,soltero,universitaria,si,no,30354,si,no,otro,mar,3,193,335,inexistente,si
Ing. Pablo Trejo,60,,viudo,tecnica,no,no,346580,si,si,celular,mar,26,384,18,fracaso,si
Dr. Wendolin Rosales,53,estudiante,viudo,ninguno,no,si,286892,no,si,otro,mar,24,937,223,,ninguno
Julia Avilés Rendón,81,,casado,maestria,si,si,715729,si,si,telefono fijo,feb,25,881,769,fracaso,no
Leonel Acevedo,450,desempleado,casado,doctorado,no,si,149990,si,no,otro,ene,13,202,365,fracaso,ninguno
Mateo Concepción,44,técnico,divorciado,maestria,si,no,800458,si,no,otro,mar,31,318,998,,si
Sr(a). Mariano Díaz,500,desempleado,viudo,,no,si,679847,si,si,,feb,2,711,596,otro,ninguno
Ana Luisa Porfirio Samaniego,59,desempleado,viudo,tecnica,no,si,845288,no,no,,abr,3,430,56,fracaso,no
Alfredo Patricio Mireles Iglesias,40,gerente,viudo,posgrado,si,si,16565,si,no,telefono fijo,nov,17,481,468,otro,ninguno
Liliana Lorena Carrillo,53,desempleado,divorciado,,si,no,352945,no,no,,abr,15,747,81,exitoso,si
Serafín Barajas Ríos,59,admin,divorciado,posgrado,no,si,538930,si,no,,jun,14,311,598,,ninguno
José Emilio Pamela Pabón,68,servicios,divorciado,otro,no,si,394767,si,si,celular,jul,24,543,766,,ninguno
Verónica Serafín Barrientos,55,obrero,soltero,otro,si,no,681091,no,no,,mar,3,26,201,exitoso,ninguno
Sr(a). Hugo Rangel,38,otro,divorciado,maestria,si,no,306819,no,no,celular,abr,25,668,531,exitoso,ninguno
Alonso Zepeda Quintana,450,jubilado,viudo,posgrado,si,no,716331,si,si,celular,ago,19,316,850,,si
Alejandro Anel Rentería Samaniego,65,técnico,casado,otro,no,no,106052,no,no,,nov,13,948,177,otro,no
Rufino Leonor Tafoya,27,,divorciado,universitaria,no,no,343048,no,no,,sep,3,385,497,fracaso,no
Pamela Elizondo,64,servicios,casado,doctorado,no,no,394913,si,si,celular,jun,28,305,358,inexistente,ninguno
Ing. Marisela Merino,41,desempleado,divorciado,otro,no,no,209649,no,si,otro,abr,17,64,665,fracaso,ninguno
Rufino Genaro Domínguez Valladares,60,jubilado,divorciado,otro,no,no,249717,no,si,,sep,8,269,152,fracaso,si
Rosario Briseño Quiñónez,39,estudiante,viudo,,si,no,931956,si,si,,may,19,968,112,exitoso,si
Natividad Marco Antonio de la Garza,50,gerente,divorciado,posgrado,no,si,676053,no,si,,sep,17,695,382,inexistente,no
Nelly Mata,83,emprendedor,divorciado,doctorado,si,no,928217,si,si,,ago,5,552,229,,ninguno
Salma Bueno Espinosa,37,gerente,casado,posgrado,no,si,139188,si,si,,may,5,984,81,fracaso,no
Lic. Gonzalo Balderas,46,gerente,soltero,maestria,no,si,349269,no,si,,jul,25,429,763,,ninguno
Rolando Ofelia Roque Lucio,25,admin,soltero,tecnologia,no,si,501546,no,no,celular,ago,31,581,32,exitoso,si
Luz Arevalo Trejo,100,independiente,soltero,posgrado,si,si,460359,si,no,telefono fijo,ene,6,476,915,fracaso,si
Dr. Camilo Palomo,46,obrero,divorciado,tecnica,si,si,238464,no,no,otro,oct,12,480,655,inexistente,ninguno
Luis Miguel Salazar Nevárez,46,,soltero,tecnica,si,si,341584,si,si,otro,oct,4,137,720,otro,si
Bernardo Francisco Javier Olivas,650,técnico,soltero,tecnologia,no,no,149286,no,no,otro,jul,15,751,813,fracaso,no
Violeta Alarcón,57,jubilado,viudo,maestria,no,no,849556,si,si,celular,ago,3,58,29,exitoso,ninguno
Dulce María Abelardo Alcaraz Otero,50,jubilado,divorciado,tecnologia,no,si,371812,no,no,,jun,1,930,157,inexistente,si
Carla Olivia Frías Galván,67,,soltero,universitaria,no,si,596955,no,no,otro,oct,8,656,491,fracaso,si
Claudio Alejandro Téllez Rojas,82,otro,soltero,,no,no,47663,no,si,celular,nov,25,57,581,inexistente,no
Yuridia Yuridia Linares,43,estudiante,viudo,,no,no,734321,no,no,,jul,4,403,69,otro,si
Mtro. Ángela Sotelo,78,independiente,viudo,secundaria,no,no,82565,no,si,otro,nov,9,670,686,fracaso,ninguno
Gerardo Briones,65,emprendedor,viudo,tecnica,si,no,756272,no,si,otro,may,15,402,536,otro,ninguno
Eric Barrientos,250,gerente,divorciado,primaria,si,no,612542,si,si,,feb,2,219,714,fracaso,ninguno
José Luis Francisco Javier Sauceda,76,admin,soltero,secundaria,no,si,180314,si,no,celular,oct,31,473,593,inexistente,no
Ilse Enrique Lemus,34,técnico,divorciado,maestria,no,si,102181,no,si,otro,may,1,777,18,,si
María José Genaro García Segura,73,,soltero,secundaria,si,si,746611,no,si,celular,abr,1,2,892,otro,si
Mateo Mauricio Aparicio,65,gerente,casado,secundaria,si,no,28031,no,no,telefono fijo,sep,17,367,236,inexistente,si
Jacinto Camacho Navarro,66,desconocido,divorciado,,si,no,359503,si,no,telefono fijo,oct,1,203,624,,no
Leonardo Amalia León Aranda,32,,casado,primaria,si,no,798075,no,si,otro,abr,26,167,992,fracaso,si
Mtro. Gabino Alcala,62,emprendedor,viudo,posgrado,si,no,770031,si,si,celular,mar,12,461,965,,si
Luis Esparta Briseño,46,técnico,casado,tecnologia,si,no,593475,no,si,otro,oct,7,46,119,,si
Mtro. Fernando Razo,58,técnico,soltero,otro,no,si,169556,no,no,otro,sep,14,38,182,,si
Cecilia Sofía Sisneros Varela,79,estudiante,viudo,maestria,no,no,427790,si,si,celular,abr,30,657,40,fracaso,ninguno
René Olivera,36,servicios,divorciado,,si,si,177981,no,si,celular,jul,22,15,761,fracaso,ninguno
Ing. Daniel Alva,73,independiente,soltero,secundaria,si,no,354843,si,si,,mar,20,15,132,,si
Martín Barraza,55,desempleado,soltero,,no,si,496371,no,si,telefono fijo,dic,26,639,228,fracaso,ninguno
Itzel Rufino Gurule Cortez,62,independiente,soltero,tecnica,no,si,378119,no,no,celular,jul,17,726,641,,no
Ing. Julia Montalvo,26,estudiante,divorciado,maestria,no,si,335857,si,si,,may,30,79,715,exitoso,ninguno
Salvador Fonseca Angulo,49,otro,casado,,si,si,352818,no,no,telefono fijo,may,21,611,792,inexistente,no
Mtro. Aldo Camacho,53,gerente,divorciado,ninguno,si,si,875188,si,no,,abr,16,632,434,exitoso,si
Ing. Israel Gallardo,50,otro,viudo,,no,si,218271,no,si,otro,dic,18,241,674,exitoso,si
Ing. Jesús Corona,400,desempleado,casado,tecnica,no,no,238086,no,no,celular,jun,27,340,178,,no
Alicia Orellana Concepción,25,jubilado,soltero,ninguno,no,si,546419,si,si,telefono fijo,nov,8,231,977,otro,no
Ing. Karina Marroquín,20,estudiante,viudo,doctorado,si,no,720907,no,no,celular,ago,12,461,306,otro,si
Victoria Mireles Posada,58,otro,divorciado,maestria,no,si,414868,si,no,telefono fijo,ago,24,258,287,inexistente,si
Tania Úrsula Delgadillo Jurado,72,desconocido,casado,tecnologia,no,si,171078,no,no,,feb,7,914,337,,si
Mayte Bétancourt,30,desconocido,viudo,maestria,si,si,531324,si,si,otro,nov,19,660,985,inexistente,si
Sessa Ocampo Almaraz,37,obrero,divorciado,posgrado,no,no,681284,no,si,telefono fijo,nov,3,994,548,otro,ninguno
Sr(a). Bianca Acuña,18,,soltero,doctorado,si,no,26106,no,no,celular,abr,8,468,542,fracaso,ninguno
María Cristina Mateo Girón Ramírez,66,estudiante,divorciado,universitaria,no,si,419907,si,no,telefono fijo,ago,29,988,492,exitoso,ninguno
Vicente Peralta,23,gerente,soltero,universitaria,no,no,942452,no,si,telefono fijo,abr,10,543,354,otro,no
Marcos Héctor Gómez,60,desconocido,divorciado,,si,no,713705,no,si,telefono fijo,may,24,338,288,otro,no
Frida Citlali Alva Botello,50,emprendedor,viudo,ninguno,si,no,147612,si,no,telefono fijo,dic,19,535,358,otro,si
Lucía Antonio Saavedra,36,otro,soltero,,no,si,122225,no,no,otro,abr,8,906,503,otro,no
Lic. Diego Hernández,300,admin,soltero,ninguno,no,si,122347,no,no,,ene,11,126,504,exitoso,ninguno
Ángela Hernán Chávez Zaragoza,59,desconocido,casado,doctorado,si,si,343630,no,no,celular,may,3,52,521,,ninguno
Espartaco Miranda Bonilla,73,servicios,casado,otro,no,no,5821,si,no,,abr,11,377,127,otro,ninguno
Lucas Ramos Marroquín,75,otro,viudo,tecnica,si,no,709140,si,no,otro,oct,31,937,762,exitoso,si
Diego Escalante,63,admin,viudo,posgrado,si,no,622675,si,si,otro,jul,16,928,538,inexistente,si
Lic. Alonso Casas,20,estudiante,divorciado,doctorado,si,si,348748,si,si,celular,may,21,807,531,exitoso,si
Lic. Homero Galindo,78,admin,divorciado,secundaria,si,si,51274,no,si,telefono fijo,ago,5,276,699,exitoso,no
Augusto Caridad Marroquín,84,técnico,casado,tecnologia,no,no,983016,no,no,celular,sep,24,627,880,,ninguno
Israel Romo Zúñiga,74,otro,divorciado,universitaria,si,si,472845,no,no,telefono fijo,ago,3,585,597,otro,no
Armando Emilio Toro,51,independiente,casado,secundaria,no,no,719836,si,no,telefono fijo,dic,24,999,750,exitoso,no
Natividad Araceli Vaca Palacios,79,servicios,soltero,primaria,no,si,183929,no,si,celular,sep,4,332,618,inexistente,no
Mtro. Leonel Guevara,84,emprendedor,viudo,doctorado,si,no,715815,no,si,celular,may,2,274,298,inexistente,no
Óliver Jorge Luis Ruiz,78,independiente,divorciado,maestria,no,si,101470,si,si,,feb,8,756,660,fracaso,ninguno
Carlos Mariana Collado,700,desempleado,viudo,otro,no,no,666048,si,no,celular,jul,11,39,664,fracaso,si
Jos Tejeda Carrión,65,emprendedor,soltero,primaria,si,no,985456,no,si,telefono fijo,feb,4,155,962,inexistente,si
Ing. Esteban Jimínez,600,otro,soltero,tecnologia,no,si,143276,no,no,celular,oct,7,476,321,fracaso,si
Rosario Rufino Vergara,61,desempleado,viudo,posgrado,no,no,121505,no,si,otro,ago,16,515,573,exitoso,si
José Luis Camila Sanabria Gurule,38,desempleado,viudo,ninguno,no,si,663519,si,si,celular,jun,26,941,212,inexistente,si
Horacio Estefanía Carmona Valverde,87,técnico,casado,otro,no,si,47612,si,no,telefono fijo,dic,12,828,843,inexistente,no
Ing. Margarita Caldera,28,admin,soltero,universitaria,no,no,217455,si,no,otro,ago,15,410,902,otro,no
Clemente Pedroza,61,gerente,viudo,doctorado,si,si,109212,si,no,telefono fijo,mar,12,626,332,,ninguno
Cristian Silvia Echeverría,58,,viudo,doctorado,no,si,525066,si,si,celular,may,30,474,453,fracaso,si
Pascual Andrés Montez Rodrígez,27,técnico,soltero,otro,si,no,546250,si,si,otro,sep,3,670,258,inexistente,no
Dr. Berta Arenas,90,admin,divorciado,doctorado,si,no,238051,si,si,,oct,10,46,416,otro,no
Mauro Posada,35,gerente,viudo,otro,si,no,874890,si,si,celular,abr,24,138,705,,ninguno
Minerva Georgina Cervántez,64,técnico,divorciado,posgrado,si,no,963861,si,si,telefono fijo,oct,16,244,222,,si
Ing. Elias Tejada,70,emprendedor,divorciado,doctorado,no,si,75667,no,si,otro,dic,15,881,53,exitoso,si
